url,language,primary_search_intent,primary_promise,primary_cta,cta_destination,primary_form_order,secondary_cta,expected_lead_type,qualification_fields,measurement,competing_cta_risk,current_status,future_recommendation,blocked_by
/ru/ocenka-kvartiry-v-tallinne/,ru,valuation / price,real price corridor,Получить реальный ценовой коридор,#v3-form-calc,calc > audit (O1),Аудит уже опубликованного объявления -> audit,owner valuation lead,address+area+rooms+floor+condition+contact,generate_lead,low (sitewide sticky Бесплатный аудит residual),CONTRACT_COHERENT (O1),none during O1,O1
/kinnisvara-hinnaanaluus-tallinn/,et,valuation (reaalne turuhind),real market price,cta_btn (intent template),#v3-form-audit,audit > calc,-,owner valuation lead,audit fields (link/type/goal) - wrong for valuation,generate_lead,high,MATERIAL_MISMATCH,primary -> #v3-form-calc + calc first (config-gated like O1),O1_T14 + ET approval
/ru/tallinn/{district}/,ru,seller-district (продать квартиру в X),sell in district,Получить аудит,#v3-form-audit,audit > calc,Узнать ценовой коридор -> calc,district seller lead,audit fields - mismatch for sell intent,generate_lead,high,MATERIAL_MISMATCH,primary -> calc or strategy path; calc first,BATCH_1A + O1
/ru/analiz-ceny-nedvizhimosti-tallinn/,ru,price analysis,price analysis,cta_btn,#v3-form-audit,audit > calc,-,valuation lead,audit fields,generate_lead,high,MATERIAL_MISMATCH,primary -> calc,O1 read
/en/property-price-analysis-tallinn/,en,price analysis,price analysis,cta_btn,#v3-form-audit,audit > calc,-,valuation lead,audit fields,generate_lead,high,MATERIAL_MISMATCH,primary -> calc,later
/ru/makler-v-tallinne/,ru,broker selection,professional broker 10+ years 300+ deals,Получить аудит объекта,#v3-form-audit,audit > calc,Узнать реальный ценовой коридор -> calc,broker inquiry,audit fields (acceptable entry),generate_lead,medium,COHERENT (template) / ideal: discuss sale or sale strategy (contact-first),W3-4 after gate,BATCH_1A
/ru/prodat-kvartiru-v-tallinne/,ru,sell apartment,30-45-day strategy / 2% commission,Получить стратегию продажи,#v3-form-audit,audit > calc,Оценить квартиру перед продажей -> calc,seller lead,audit fields (asks listing link - DIY sellers may lack one),generate_lead,medium,MINOR_MISMATCH,strategy CTA -> contact or valuation path,BATCH_1A
/ru/kinnisvara-muuk/ + /kinnisvara-muuk/ + /en/sell-property/,ru/et/en,sell property,sell without price loss,v3 forms (no hero anchor CTA),n/a,audit > calc,calc second,seller lead,mixed,generate_lead,medium,MINOR_MISMATCH,calc first or contact-first,ET_DEFERRED / BATCH_1A (ru)
/ru/agentstvo-nedvizhimosti-tallinn/,ru,agency,agency strategy,Получить консультацию,#v3-form-audit,audit > calc,Посмотреть реальные кейсы,consultation,audit fields,generate_lead,low,MINOR_MISMATCH (consultation -> audit form),consultation -> contact/inquiry,BATCH_1A
/ru/ne-prodaetsya… + /ru/audit-nedvizhimosti… + /ru/audit-obyavleniya/ + /kuulutuse-audit/,ru/et,failed sale / listing audit,find why it is not selling,Получить разбор / Заказать аудит,#v3-form-audit,audit > calc,-,audit lead,link+type+goal+contact,generate_lead,low,CONTRACT_COHERENT,pain-first framing later,AUDIT_CRO_DEFERRED
/ru/sdat-kvartiru-v-tallinne/,ru,landlord,rental strategy,Подобрать стратегию аренды,#v3-form-audit,audit > calc,Проверить рыночную цену аренды -> calc,landlord lead,audit fields (sell-oriented) - mismatch,generate_lead,medium,MATERIAL_MISMATCH,rental CTA -> contact/inquiry,none
/ (ET home) + /ru/ + /en,all,brand + seller entry,sell without price loss,popups + v3 forms,n/a,audit > calc,calc,mixed,mixed,generate_lead,low-med,MINOR_MISMATCH,calc-first after O1 evidence,BATCH_1A (/ru/) / ET_DEFERRED (/)
