query_raw,query_normalized,lexical_family,business_intent,observed_gsc,intended_owner,current_url,url_role,current_clicks,previous_clicks,click_delta,current_impressions,previous_impressions,impression_delta,current_ctr,previous_ctr,ctr_delta,current_position,previous_position,position_delta,owner_match,conflict_type,evidence_strength,confidence,recommended_action
маклер таллинн,маклер таллинн,MAKLER,SELLER_HIGH,YES,/ru/makler-v-tallinne/,/ru/makler-v-tallinne/,PRIMARY_OWNER,1,5,-4,64,84,-20,1.56%,5.95%,-4.39pp,10.66,7.63,-3.03,YES,PROBABLE_CANNIBALIZATION (title competitor /ru/),OWNER_STATED+DIRECT_PRODUCTION+DIRECT_GIT,MEDIUM,Batch 1A: remove head term from /ru/ title
маклер,маклер,MAKLER,SELLER_HIGH,YES,/ru/makler-v-tallinne/,/ru/makler-v-tallinne/,PRIMARY_OWNER,2,2,0,106,106,0,~1.9%,~1.9%,~0,10.69,7.75,-2.94,YES,PROBABLE_CANNIBALIZATION (impr flat + pos down = not demand/query-mix),OWNER_STATED+DIRECT_PRODUCTION,MEDIUM,Batch 1A
маклер в таллинне,маклер в таллинне,MAKLER,SELLER_HIGH,NO (semantic variant; exact phrase in /ru/ title),/ru/makler-v-tallinne/,OWNER_EVIDENCE_PENDING,UNKNOWN,,,,,,,,,,,,,PENDING,POSSIBLE_CANNIBALIZATION,DIRECT_PRODUCTION (title),LOW,Batch 1A; confirm via EXACT /ru/ export
маклер (competing view),маклер,MAKLER,SELLER_HIGH,PENDING,/ru/makler-v-tallinne/,/ru/,HOMEPAGE (title claims head term),PENDING,,,PENDING,,,,,,,,,NO,PROBABLE_CANNIBALIZATION,DIRECT_PRODUCTION+DIRECT_GIT (a3ea5c0),MEDIUM,exact /ru/ Queries export needed for share math
маклер (competing view),маклер,MAKLER,SELLER_HIGH,PENDING,/ru/makler-v-tallinne/,/ru/tallinn/,HUB (title "Маклер по районам"),PENDING,,,PENDING,,,,,,,,,NO,POSSIBLE_CANNIBALIZATION (secondary),DIRECT_PRODUCTION,LOW,Batch 1B candidate only if 1A insufficient
маклер (competing view),маклер,MAKLER,SELLER_HIGH,PENDING,/ru/makler-v-tallinne/,/ru/agentstvo-nedvizhimosti-tallinn/,ALTERNATE_SERVICE (agency),PENDING,,,PENDING,,,,,,,,,NO,BENIGN_MULTI_URL_VISIBILITY (not material on evidence),DIRECT_PRODUCTION,LOW,no change
риелтор (family),риелтор,RIELTOR,SELLER_HIGH,YES,/ru/makler-v-tallinne/,/ru/makler-v-tallinne/,PRIMARY_OWNER,,,,119,86,+33,,,,7.28,5.69,-1.59,YES,BENIGN_MULTI_URL_VISIBILITY (impr up; pos softening = likely query-mix),OWNER_STATED,MEDIUM,no change; monitor
риелтор (family),риелтор,RIELTOR,SELLER_HIGH,YES,/ru/makler-v-tallinne/,/,HOMEPAGE (x-default; zero RU text),,,,49,33,+16,,,,7.73,6.45,-1.28,NO,BENIGN_MULTI_URL_VISIBILITY (supporting; both URLs softened; specialist holds 2.4x impr),OWNER_STATED+DIRECT_PRODUCTION,MEDIUM,no change (no removable signal on /)
риэлтор (family),риэлтор,RIELTOR_YO,SELLER_HIGH,YES,/ru/makler-v-tallinne/,/ru/makler-v-tallinne/,PRIMARY_OWNER,,,,80,65,+15,,,,9.12,4.94,-4.18,YES,POSSIBLE_CANNIBALIZATION vs query-mix (impr up + big pos drop; root held ~6 = did not rise),OWNER_STATED,LOW-MEDIUM,no change in Batch 1; needs query-level rows
риэлтор (family),риэлтор,RIELTOR_YO,SELLER_HIGH,YES,/ru/makler-v-tallinne/,/,HOMEPAGE (x-default),,,,40,26,+14,,,,~6,~6,~0,NO,BENIGN_MULTI_URL_VISIBILITY (held page-one; not displacing),OWNER_STATED+DIRECT_PRODUCTION,MEDIUM,no change
риелтор таллинн / риэлтор таллинн / услуги риелтора / услуги риэлтора / маклер недвижимости / услуги маклера,—,RIELTOR|RIELTOR_YO|MAKLER,SELLER_HIGH,NO (semantic variants not in supplied rows),/ru/makler-v-tallinne/,OWNER_EVIDENCE_PENDING,UNKNOWN,,,,,,,,,,,,,PENDING,INSUFFICIENT_EVIDENCE,—,—,retain as OBSERVED_GSC=NO; fill from exact exports
агентство недвижимости таллинн,агентство недвижимости таллинн,AGENCY,SELLER_MEDIUM,NO,/ru/agentstvo-nedvizhimosti-tallinn/,OWNER_EVIDENCE_PENDING,PRIMARY_OWNER(intended),,,,,,,,,,,,,PENDING,NO_CONFLICT (distinct intent),DIRECT_REPO,LOW,no change
