language,url,page_type,primary_seller_intent,secondary_intent,journey_stage,property_type,geo,intent_owner_status,historical_winner,protected,active_experiment,organic_evidence,search_opportunity_class,cro_contract_status,primary_cta,form_order,information_gain,inlinks,cannibalization_risk,doorway_risk,recommended_state,future_change_type,priority,confidence,dependency,evidence_needed
ru,/ru/,HOME,brand + RU service entry,broad seller,1,ALL,Tallinn+Harjumaa,SUPPORTING (broker title removed by 1A),yes,yes,BATCH_1A,LEVEL_3 exact GSC,HIGH_VISIBILITY_LOW_CTR,MINOR_MISMATCH (audit-first forms),popups + v3 forms,audit>calc,ADEQUATE,129,medium,none,RECOVERY_IN_PROGRESS,NO_CHANGE,P0,HIGH,BATCH_1A_GATE,GSC T+14/T+21
ru,/ru/makler-v-tallinne/,BROKER,MAKLER/RIELTOR,agency,5,APARTMENT,Tallinn,PRIMARY_OWNER (weakened),yes,yes,BATCH_1A,LEVEL_3 exact GSC,HIGH_INTENT_WRONG_OWNER (recovering),COHERENT (template) / ideal = strategy-first,Получить аудит объекта -> audit,audit>calc,STRONG,69,recovery,none,RECOVERY_IN_PROGRESS,NO_CHANGE (CRO later),P0,HIGH,BATCH_1A_GATE,GSC T+14/T+21
ru,/ru/prodat-kvartiru-v-tallinne/,SELLER_MONEY_PAGE,SELL_APARTMENT,strategy,3,APARTMENT,Tallinn,PRIMARY_OWNER (title competitor: /ru/kinnisvara-muuk/),yes,yes,BATCH_1A (frozen),LEVEL_3 partial,HIGH_INTENT_WRONG_OWNER?,MINOR_MISMATCH (strategy CTA -> audit form),Получить стратегию продажи -> audit,audit>calc,STRONG,35 (lowest),high (sell cluster),none,STRENGTHEN_EXISTING_URL,INTERNAL_LINK_ONLY + competitor title fix,P1,MEDIUM,BATCH_1A_GATE,GSC prodat vs kinnisvara-muuk
ru,/ru/kinnisvara-muuk/,SERVICE,SELL_APARTMENT (title since a3ea5c0),sell property,3,APARTMENT (title),Tallinn,UNINTENDED_COMPETITOR of prodat,no,indirect (affects frozen),BATCH_1A (indirect),DIRECT_GIT + PROD,HIGH_INTENT_WRONG_OWNER,MINOR_MISMATCH,v3 forms,audit>calc,ADEQUATE,n/a,high,none,STRENGTHEN_EXISTING_URL (de-conflict title),TITLE_ONLY,P1,MEDIUM,BATCH_1A_GATE,GSC sell cluster
ru,/ru/ocenka-kvartiry-v-tallinne/,VALUATION,VALUATION,audit,2,APARTMENT,Tallinn,PRIMARY_OWNER (clean),yes,yes,O1,LEVEL_3 + O1 baseline,STRONG_PAGE_WEAK_CRO (fixed by O1),COHERENT (O1),Получить реальный ценовой коридор -> calc,calc>audit,STRONG,68,low,none,RECOVERY_IN_PROGRESS (CRO),NO_CHANGE,P0,HIGH,O1_GATE,Ads/GA4 T+14
ru,/ru/agentstvo-nedvizhimosti-tallinn/,AGENCY,AGENCY,broker,5,APARTMENT,Tallinn,PRIMARY_OWNER,yes,yes,BATCH_1A,LEVEL_3,-,COHERENT (template),Получить консультацию -> audit,audit>calc,ADEQUATE,36,low-med (o-kompanii),none,KEEP_AS_IS,NO_CHANGE,P2,MEDIUM,BATCH_1A_GATE,-
ru,/ru/tallinn/,GEO_HUB,SELLER_DISTRICT hub,broker (trailing),10,APARTMENT,Tallinn,SECONDARY (1B watch),yes,yes,BATCH_1A,LEVEL_3 subtree,HIGH_INTENT_POSITION_5_20,MINOR_MISMATCH,Получить аудит объекта -> audit,audit>calc,ADEQUATE,56 (anchor div 2),medium,low,WATCH,TITLE_ONLY (1B) / INTERNAL_LINK_ONLY,P1,MEDIUM,BATCH_1A_GATE,GSC T+14
ru,/ru/tallinn/{lasnamae mustamae kesklinn haabersti kristiine}/,DISTRICT_HUB,SELLER_DISTRICT,broker (title suffix),10,APARTMENT,district,SECONDARY,partly (kristiine 751 impr / 0 clicks),yes (hub children),BATCH_1A,LEVEL_3 subtree,STRONG_PAGE_WEAK_CRO,MATERIAL_MISMATCH (primary CTA -> audit),Получить аудит -> audit,audit>calc,ADEQUATE (unsourced EUR/m2),n/a,medium,medium,CRO_ONLY_CANDIDATE,CTA_ONLY (config-gated),P1,MEDIUM,BATCH_1A + O1,kristiine queries export
ru,/ru/ne-prodaetsya-kvartira-v-tallinne/,AUDIT_FAILED_SALE,FAILED_SALE,audit,6,APARTMENT,Tallinn,PRIMARY_OWNER,no,registry A,none,none,-,COHERENT,Получить разбор объявления -> audit,audit>calc,STRONG,n/a,low,none,KEEP_AS_IS,NO_CHANGE,P2,MEDIUM,-,-
ru,/ru/audit-nedvizhimosti-tallinn/,AUDIT_FAILED_SALE,LISTING_AUDIT,-,7,APARTMENT,Tallinn,PRIMARY_OWNER,no,registry A,Ads paused,none,-,COHERENT (ideal pain-first),Заказать аудит объекта -> audit,audit>calc,ADEQUATE,n/a,low,none,CRO_ONLY_CANDIDATE (deferred),CONTENT_MODULE_ONLY,P2,MEDIUM,AUDIT_CRO_DEFERRED,-
ru,/ru/sdat-kvartiru-v-tallinne/,SELLER_MONEY_PAGE,LANDLORD,-,11,APARTMENT,Tallinn,PRIMARY_OWNER,no,registry A,none,none,-,MATERIAL_MISMATCH (rental CTA -> audit form),Подобрать стратегию аренды -> audit,audit>calc,ADEQUATE,n/a,low,none,CRO_ONLY_CANDIDATE,CTA_ONLY,P3,MEDIUM,none,-
ru,/ru/analiz-ceny-nedvizhimosti-tallinn/,VALUATION (support),PRICE_ANALYSIS,-,2,APARTMENT,Tallinn,SUPPORTING of ocenka,no,no,none,none,-,MATERIAL_MISMATCH (price intent -> audit CTA),cta_btn -> audit,audit>calc,ADEQUATE,n/a,low-med vs ocenka,none,CRO_ONLY_CANDIDATE,CTA_ONLY,P2,MEDIUM,O1 read,-
ru,RU intent pages (no_calls no_offers mistakes fast_sale diy audit_obyavleniya),INTENT_PAGES,FAILED_SALE / DIY / AUDIT,-,4-7,APARTMENT,Tallinn,PRIMARY (registry A/B),no,no,none,none,-,MOSTLY_COHERENT (audit CTA fits 4 of 6),cta_btn -> audit,audit>calc,ADEQUATE,n/a,low,none,KEEP_AS_IS,NO_CHANGE,P3,MEDIUM,-,-
ru,/ru/cases/* (6 case studies),CASE_STUDY,proof,-,3-5,APARTMENT,districts,SUPPORTING,no,no,none,none,-,n/a,links -> makler/prodat,-,FIRST_PARTY,n/a,none,none,KEEP_AS_IS,INTERNAL_LINK_ONLY (-> prodat),P3,HIGH,BATCH_1A_GATE,-
et,/,HOME,brand + ET broker (title) + sell (H1),-,1/5,ALL,Tallinn+Harjumaa,DE-FACTO ET BROKER OWNER; H1 identical to /kinnisvara-muuk/,yes,yes,none,none (ET GSC pending),HIGH_INTENT_WRONG_OWNER?,MINOR_MISMATCH (audit-first),v3 forms,audit>calc,ADEQUATE,110,medium (ET sell/broker),none,EVIDENCE_REQUIRED,TITLE_OR_H1 (later),P1,MEDIUM,ET_DEFERRED,ET GSC maakler / müük
et,/kinnisvara-muuk/,SERVICE (ET sell owner),SELL,-,3,ALL,Tallinn+Harjumaa,PRIMARY_OWNER (H1 shared with root),unknown,yes (ET money),none,none,HIGH_INTENT_WRONG_OWNER?,MINOR_MISMATCH,v3 forms,audit>calc,ADEQUATE,n/a,medium,none,STRENGTHEN_EXISTING_URL,H1/CTA (later),P1,MEDIUM,ET_DEFERRED,ET GSC
et,/kinnisvara-hinnaanaluus-tallinn/,VALUATION (ET owner),VALUATION,-,2,APARTMENT,Tallinn,PRIMARY_OWNER (clean),no,yes,none,none,STRONG_PAGE_WEAK_CRO,MATERIAL_MISMATCH (primary CTA -> audit; audit-first),cta_btn -> #v3-form-audit,audit>calc,ADEQUATE,n/a,low,none,CRO_ONLY_CANDIDATE (NEXT),CTA_ONLY + form order (config-gated),P1,HIGH,O1_T14 + ET approval,none blocking
et,/kuulutuse-audit/,AUDIT_FAILED_SALE,LISTING_AUDIT,failed sale,7,APARTMENT,Tallinn,PRIMARY_OWNER,no,yes,none,none,-,COHERENT,-> audit,audit>calc,ADEQUATE,n/a,low,none,KEEP_AS_IS (pain-first later),CONTENT_MODULE_ONLY,P3,MEDIUM,AUDIT_CRO_DEFERRED,-
et,ET intent pages (no_calls no_offers mistakes fast_sale diy),INTENT_PAGES,FAILED_SALE fragments / DIY,-,4-6,APARTMENT,Tallinn,PRIMARY (fragments; no umbrella),no,no,none,none,-,MOSTLY_COHERENT,-> audit,audit>calc,ADEQUATE,n/a,low,none,KEEP_AS_IS,NO_CHANGE,P3,MEDIUM,-,ET GSC
et,ET maakler specialist (does not exist),BROKER,MAAKLER,-,5,ALL,Tallinn,NO_OWNER (root by title),-,-,-,none,HIGH_INTENT_NO_OWNER,-,-,-,-,-,HIGH if built before root de-conflict,low,EVIDENCE_REQUIRED (HOLD),NEW_LP only after root de-conflict,P2,LOW,ET GSC + root decision,ET GSC maakler
et,/kinnisvara-uur/,SERVICE,LANDLORD,-,11,ALL,Tallinn,PRIMARY_OWNER,no,yes,none,none,-,MINOR_MISMATCH,v3 forms,audit>calc,ADEQUATE,107 (RU twin),low,none,KEEP_AS_IS,NO_CHANGE,P3,MEDIUM,-,-
en,/en/knowledge/real-estate-market-analysis-tallinn-2026/,KNOWLEDGE,market authority,investor,1,ALL,Tallinn+Harjumaa,AUTHORITY_ASSET,yes,yes,none,LEVEL_3 (protected),-,n/a,-,audit>calc,FIRST_PARTY_EVIDENCE_RICH,n/a,none,none,KEEP_AS_IS,NO_CHANGE,P2,HIGH,-,-
en,EN seller pages (sell-property listing-audit property-price-analysis intents),SERVICE/INTENT,SELL / AUDIT / PRICE,expat/investor owner,2-7,ALL,Tallinn,PRIMARY (EN),no,yes,none,none,LANGUAGE_GAP (commercial share unknown),MINOR/MATERIAL_MISMATCH (audit-first),-> audit,audit>calc,ADEQUATE,n/a,low,none,KEEP_AS_IS (CRO later),CTA_ONLY (later),P3,LOW,ET/RU first,EN GSC seller share
all,house / land / commercial / house-part owner pages,PROPERTY_TYPE,SELL_HOUSE / SELL_LAND / SELL_COMMERCIAL,-,9,HOUSE/LAND/COMMERCIAL,Tallinn+Harjumaa,NO_OWNER (no titles in any language),-,-,-,none,PROPERTY_TYPE_GAP,-,-,-,-,-,none,low (distinct JTBD),NEW_LP_CANDIDATE (house gated) / EVIDENCE_REQUIRED (land commercial),NEW_LP,P2,MEDIUM,demand evidence + labelled data,GSC/Ads terms maja / дом
