bucket,id,item,url,change_type,seller_intent(0-25),search_evidence(0-20),uplift(0-15),business(0-15),conversion_fit(0-10),info_gain(0-10),cannibal_safety(0-5),total(0-100),confidence,risk_penalties,experiment_isolation,dependency,state
W1 RECOVERY,W1-1,RU MAKLER ownership recovery (Batch 1A running),/ru/ + /ru/makler-v-tallinne/,TITLE_ONLY (done),25,18,13,14,8,7,4,89,HIGH,EXPERIMENT_CONTAMINATION if touched,WAIT_BATCH_1A,T+21 gate,RECOVERY_IN_PROGRESS
W1 RECOVERY,W1-2,RU sell cluster: de-conflict /ru/kinnisvara-muuk/ title (a3ea5c0 retitle to "Продать квартиру") vs prodat winner,/ru/kinnisvara-muuk/,TITLE_ONLY,22,10,11,12,7,5,3,70,MEDIUM,CANNIBALIZATION_RISK (current),WAIT_BATCH_1A,GSC sell cluster at T+14,BLOCKED_UNTIL_BATCH_1A_GATE
W1 RECOVERY,W1-3,Batch 1B: /ru/tallinn/ trailing broker phrase,/ru/tallinn/,TITLE_ONLY,15,10,8,8,5,3,3,52,LOW,EXPERIMENT_CONTAMINATION,WAIT_BATCH_1A,only if ownership shifts to hub,WATCH
W2 EXISTING URL UPLIFT,W2-1,prodat internal authority repair (35 inlinks lowest; contextual sell anchors from knowledge/cases),/ru/prodat-kvartiru-v-tallinne/,INTERNAL_LINK_ONLY,22,8,10,12,7,4,4,67,MEDIUM,none,WAIT_BATCH_1A,after 1A gate,STRENGTHEN_EXISTING_URL
W2 EXISTING URL UPLIFT,W2-2,ET sell de-confliction: root H1 identical to /kinnisvara-muuk/ H1,/ (H1) or /kinnisvara-muuk/,H1_OR_TITLE (1 URL),20,6,10,12,6,4,3,61,MEDIUM,CANNIBALIZATION_RISK (current),SAFE_INDEPENDENT but ET_DEFERRED,ET GSC + ET approval,STRENGTHEN_EXISTING_URL
W2 EXISTING URL UPLIFT,W2-3,Market-data labelling (source/date/sample/asking-price caveat) on district/location prose,districts + locations,CONTENT_MODULE_ONLY,10,5,6,8,3,8,5,45,HIGH,MISLEADING_CONTENT_RISK if left,WAIT_BATCH_1A (RU districts),spec first,STRENGTHEN_EXISTING_URL
W3 CRO UPLIFT,W3-1,ET valuation-first contract on /kinnisvara-hinnaanaluus-tallinn/ (primary CTA -> calc; calc first),/kinnisvara-hinnaanaluus-tallinn/,CTA_ONLY + form order (config-gated),23,8,12,13,10,5,5,76,HIGH,none,SAFE_INDEPENDENT (needs ET approval; learn from O1 T+14),O1_T14,CRO_ONLY_CANDIDATE - NEXT TASK
W3 CRO UPLIFT,W3-2,RU district pages primary CTA audit -> sell/valuation path,/ru/tallinn/{district}/,CTA_ONLY (config-gated),20,9,10,11,9,3,4,66,MEDIUM,EXPERIMENT_CONTAMINATION (hub children),WAIT_BATCH_1A + WAIT_O1,gates,CRO_ONLY_CANDIDATE
W3 CRO UPLIFT,W3-3,Price-analysis intent pages CTA -> valuation form (/ru/analiz-ceny…/ and /en/property-price-analysis…/),intent pages,CTA_ONLY,15,5,7,8,8,3,4,50,MEDIUM,none,WAIT_O1,O1 read,CRO_ONLY_CANDIDATE
W3 CRO UPLIFT,W3-4,Makler primary action -> "Обсудить продажу квартиры" / "Получить стратегию продажи",/ru/makler-v-tallinne/,CTA_ONLY,22,12,9,12,8,4,4,71,MEDIUM,EXPERIMENT_CONTAMINATION,WAIT_BATCH_1A,gate,BLOCKED_BY_ACTIVE_EXPERIMENT
W3 CRO UPLIFT,W3-5,Audit pain-first contract ("Квартира не продаётся? Разберём где теряется покупатель"),/ru/audit-nedvizhimosti-tallinn/ + /kuulutuse-audit/,CONTENT_MODULE_ONLY + CTA,18,6,8,9,8,6,5,60,MEDIUM,none,WAIT_ADS_EVIDENCE (Audit paused),Ocenka validation first,AUDIT_CRO_DEFERRED
W3 CRO UPLIFT,W3-6,/ru/sdat…/ rental-strategy CTA -> audit form mismatch,/ru/sdat-kvartiru-v-tallinne/,CTA_ONLY,10,4,5,6,7,2,5,39,MEDIUM,none,SAFE_INDEPENDENT,none,CRO_ONLY_CANDIDATE (low)
W4 NEW LP,W4-1,House-sale owner page (RU then ET) with labelled market data,new: продать дом / maja müük (Tallinn+Harjumaa),NEW_LP,22,4,10,13,8,9,4,70,MEDIUM,THIN_CONTENT_RISK without data; MAINTENANCE_RISK,SAFE_INDEPENDENT,demand evidence (GSC/Ads terms) + dataset labelling,NEW_LP_CANDIDATE (gated)
W4 NEW LP,W4-2,ET "miks korter ei müü" umbrella (consolidate fragments first),new ET,NEW_LP or CONSOLIDATION,20,3,8,10,8,6,3,58,LOW,CANNIBALIZATION vs 3 ET fragments,ET_DEFERRED,ET GSC,EVIDENCE_REQUIRED
W5 TOOL,W5-1,Price Corridor Calculator (embed on Ocenka / ET valuation; standalone URL later),tool,NEW_TOOL,22,8,9,12,9,9,5,74,MEDIUM,MAINTENANCE_RISK (data),WAIT_O1 (+ O2 evidence),labelled dataset,TOOL_CANDIDATE
W5 TOOL,W5-2,"Why is my listing not selling" diagnostic,tool,NEW_TOOL,18,5,7,9,8,8,5,60,MEDIUM,MAINTENANCE_RISK,WAIT_ADS_EVIDENCE,Audit CRO,TOOL_CANDIDATE
W5 TOOL,W5-3,Sale Readiness Score / Seller Checklist / Timeline Estimator,tool,NEW_TOOL,12,3,5,6,6,6,5,43,LOW,low search fit,none,content-module first,WATCH
W6 ET GROWTH,W6-1,ET valuation CRO (= W3-1),-,-,-,-,-,-,-,-,-,76,HIGH,-,-,-,see W3-1
W6 ET GROWTH,W6-2,ET broker (maakler) ownership: de-conflict root before any specialist,/ + future,TITLE/H1 then maybe NEW_LP,22,4,9,12,6,5,2,60,LOW,CANNIBALIZATION_RISK (root vs new page),ET_DEFERRED,ET GSC maakler,HOLD (de-conflict-before-build)
W6 ET GROWTH,W6-3,ET homepage + ET service pages audit-first form order,/ + ET services,form order (config-gated),16,4,7,9,8,3,5,52,MEDIUM,none,ET_DEFERRED,after W3-1 result,CRO_ONLY_CANDIDATE
W7 GEO/PROPERTY,W7-1,Missing districts (Põhja-Tallinn Nõmme Pirita) + Harjumaa municipalities,new,NEW_LP,15,2,6,8,5,4,2,42,LOW,DOORWAY_RISK high,SAFE but no evidence,GSC/Ads terms + unique local info,EVIDENCE_REQUIRED
W7 GEO/PROPERTY,W7-2,Land / commercial owner pages,new,NEW_LP,16,2,5,9,5,5,4,46,LOW,THIN_CONTENT_RISK,SAFE,demand evidence,EVIDENCE_REQUIRED
W8 EVIDENCE,W8-1,ET GSC query -> page (maakler / korteri müük / korteri hind / kinnisvara hindamine),-,EVIDENCE_ONLY,-,-,-,-,-,-,-,-,-,-,-,batch into Batch 1A T+14 pull,EVIDENCE_REQUIRED (nonblocking)
W8 EVIDENCE,W8-2,RU sell cluster GSC (prodat vs /ru/kinnisvara-muuk/),-,EVIDENCE_ONLY,-,-,-,-,-,-,-,-,-,-,-,batch into Batch 1A T+14 pull,EVIDENCE_REQUIRED (nonblocking)
W9 REJECT,W9-1,service x district farms; риелтор/риэлтор duplicates; per-room-count pages; hindamisakt page; RU->ET clones; one-LP-per-keyword; FAQ-schema-for-rich-results,-,-,-,-,-,-,-,-,-,-,HIGH,DOORWAY_RISK,-,-,REJECT_DO_NOT_CREATE
