intent_id,journey_stage,query_cluster,primary_keyword,secondary_queries,existing_candidate_urls,canonical_winner,content_gap,cannibalization_risk,recommended_action
VALUATION_TALLINN,0-latent,Valuation / price corridor,оценка квартиры таллинн,"сколько стоит моя квартира; рыночная стоимость квартиры; ценовой коридор",/ru/ocenka-kvartiry-v-tallinne/ | /ru/analiz-ceny-nedvizhimosti-tallinn/ | guide_pricing,/ru/ocenka-kvartiry-v-tallinne/,none,LOW (ocenka=commercial; price_analysis=intent; guide=explainer),KEEP
SELL_PREP,1-preparing,How to sell / prepare,как продать квартиру,"как подготовить квартиру к продаже; какие документы нужны",guide_sell_tallinn | guide_staging | /ru/kinnisvara-muuk/,/ru/knowledge/polnoe-rukovodstvo-prodazha-nedvizhimosti-tallinn/,none,LOW,STRENGTHEN (internal links to money pages)
SELL_TALLINN,4-transaction,Sell apartment Tallinn,продать квартиру в таллинне,"продажа квартиры таллинн; продать квартиру быстро",/ru/prodat-kvartiru-v-tallinne/ | /ru/kinnisvara-muuk/,/ru/prodat-kvartiru-v-tallinne/,none,MEDIUM (landing vs service hub — keep service page service-framed),KEEP
SELL_FASTER,2-selling-self,Sell faster,как быстро продать квартиру,"продать квартиру самостоятельно; как назначить цену",/ru/kak-prodat-bystree/ (all 3 langs),/ru/kak-prodat-bystree/,none,LOW,KEEP
NO_CALLS,3-problem,No calls / no viewings,продаю сам никто не звонит,"нет звонков по объявлению; мало просмотров",/ru/prodayu-sam-nikto-ne-zvonit/ (all 3 langs),/ru/prodayu-sam-nikto-ne-zvonit/,none,LOW (sub-intent of NOT_SELLING; must link up),KEEP
NO_OFFERS,3-problem,Views but no offers,просмотры есть предложений нет,"покупатели торгуются; показы есть предложений нет",/ru/prosmotry-est-predlozheniy-net/ (all 3 langs),/ru/prosmotry-est-predlozheniy-net/,none,LOW (distinct funnel stage from NO_CALLS),KEEP
NOT_SELLING,3-problem,Apartment not selling,квартира не продается,"почему не продается квартира; долго не продается квартира; объявление не работает",/ru/ne-prodaetsya-kvartira-v-tallinne/,/ru/ne-prodaetsya-kvartira-v-tallinne/,ET/EN mirror absent (RU-only; acceptable),MEDIUM (broad intent overlapping no_calls/no_offers sub-symptoms),KEEP
MISTAKES,3-problem,Mistakes selling,ошибки при продаже квартиры,"вады при продаже; из-за чего теряют деньги",/ru/oshibki-pri-prodazhe/ | guide_mistakes,/ru/oshibki-pri-prodazhe/,none,LOW,KEEP
MAKLER_TALLINN,4-expert,Makler / realtor,маклер таллинн,"риелтор таллинн; маклер по продаже квартир; профессиональный маклер таллинн",/ru/makler-v-tallinne/ | /ru/aleksandr-primakov/,/ru/makler-v-tallinne/,ET/EN dedicated makler landing absent (sell/profile carry it),LOW,KEEP
AGENCY_TALLINN,4-expert,Agency,агентство недвижимости таллинн,"агентство недвижимости; бюро недвижимости таллинн",/ru/agentstvo-nedvizhimosti-tallinn/,/ru/agentstvo-nedvizhimosti-tallinn/,none,LOW (keep distinct from MAKLER person-intent),KEEP
LISTING_AUDIT,4-expert,Listing / property audit,аудит недвижимости таллинн,"аудит объявления; проверить объявление; аудит квартиры",/ru/audit-nedvizhimosti-tallinn/ | /ru/audit-obyavleniya/ | /ru/audit/,/ru/audit-nedvizhimosti-tallinn/,none,HIGH (3 RU audit pages — must stay differentiated),STRENGTHEN (enforce differentiation; monitor)
COMPARISON,4-expert,Self vs partner,продать самому или через маклера,"сам vs маклер; стоит ли нанимать маклера",/ru/prodat-samomu-vs-partner/ (all 3 langs),/ru/prodat-samomu-vs-partner/,none,LOW,KEEP
RENT_TALLINN,transaction,Rent out apartment,сдать квартиру в таллинне,"аренда квартиры таллинн; сдать квартиру безопасно",/ru/sdat-kvartiru-v-tallinne/ | /ru/kinnisvara-uur/,/ru/sdat-kvartiru-v-tallinne/,none,LOW (must not dilute seller authority — secondary),KEEP
